# BIN1 BIN2 ANGBIN VALUE 
1 1 1 0.00111701555
1 1 2 0.00119740119
1 1 3 0.000763949115
1 1 4 0.000570410769
1 1 5 0.000529940066
1 1 6 0.000520817337
1 1 7 0.000417076797
1 1 8 0.000237488922
1 1 9 0.000193331932
1 1 10 0.000169881797
1 1 11 0.000165491034
1 1 12 0.000111987437
1 1 13 6.32646299e-05
1 1 14 5.99532681e-05
1 1 15 6.26489633462e-05
1 1 16 5.59251299018e-05
1 1 17 1.54988060805e-05
1 1 18 9.11264026922e-06
1 1 19 2.00186006601e-05
1 1 20 2.09656606326e-05
1 2 1 0.0020610304
1 2 2 0.00106990583
1 2 3 0.00141653814
1 2 4 0.00119409878
1 2 5 0.00088191015
1 2 6 0.000742747199
1 2 7 0.00041809929
1 2 8 0.000346907992
1 2 9 0.000359107446
1 2 10 0.000275691542
1 2 11 0.000135393222
1 2 12 0.000204954839
1 2 13 0.000153510547
1 2 14 0.000100016378
1 2 15 6.54731491636e-05
1 2 16 2.25507988753e-05
1 2 17 5.00888493877e-05
1 2 18 1.45122923333e-05
1 2 19 2.04926000157e-05
1 2 20 2.48207504049e-05
1 3 1 0.00278938019
1 3 2 0.00202498049
1 3 3 0.00189977545
1 3 4 0.00168758462
1 3 5 0.00132825349
1 3 6 0.000952150471
1 3 7 0.000671344337
1 3 8 0.000561232268
1 3 9 0.000495735818
1 3 10 0.00037921445
1 3 11 0.000333447074
1 3 12 0.000261821692
1 3 13 0.000184777903
1 3 14 0.000175856339
1 3 15 0.000114636248852
1 3 16 8.93664042686e-05
1 3 17 6.30304510436e-05
1 3 18 6.63951659275e-05
1 3 19 6.12731892631e-05
1 3 20 3.24323177462e-05
1 4 1 0.00211710501
1 4 2 0.00267493612
1 4 3 0.00205339811
1 4 4 0.00170091504
1 4 5 0.00148320085
1 4 6 0.00112394518
1 4 7 0.000790951693
1 4 8 0.000754920664
1 4 9 0.000554916361
1 4 10 0.000279665132
1 4 11 0.00031390494
1 4 12 0.000324585218
1 4 13 0.000275460045
1 4 14 0.00016775334
1 4 15 5.36506363544e-05
1 4 16 6.72119096435e-05
1 4 17 7.38891034204e-05
1 4 18 7.32220823734e-05
1 4 19 8.4104568032e-05
1 4 20 4.15452155573e-05
2 1 1 0.000542396745
2 1 2 0.000509315531
2 1 3 0.000530036005
2 1 4 0.000278483705
2 1 5 0.000266320163
2 1 6 0.000152886444
2 1 7 0.000113846771
2 1 8 6.90702776e-05
2 1 9 8.52311231e-05
2 1 10 9.86848558e-05
2 1 11 5.22398748e-05
2 1 12 6.17484425e-05
2 1 13 -1.9303765091e-05
2 1 14 1.49465431046e-05
2 1 15 2.35292138049e-05
2 1 16 2.80384779726e-05
2 1 17 2.36717536944e-05
2 1 18 1.29065904892e-05
2 1 19 1.04494436866e-05
2 1 20 1.42457712629e-05
2 2 1 0.00104585108
2 2 2 0.000890033814
2 2 3 0.000464186783
2 2 4 0.000612956902
2 2 5 0.000422818225
2 2 6 0.000441675107
2 2 7 0.000302961859
2 2 8 0.000178594121
2 2 9 0.000186959159
2 2 10 0.000152303783
2 2 11 0.000138107551
2 2 12 5.12370839e-05
2 2 13 4.47749568572e-05
2 2 14 4.28977900383e-05
2 2 15 4.0450410417e-05
2 2 16 3.12726510353e-05
2 2 17 2.72379256361e-05
2 2 18 2.27483059619e-05
2 2 19 1.89465587863e-05
2 2 20 1.56450662024e-05
2 3 1 0.00200430706
2 3 2 0.00166002511
2 3 3 0.00147990767
2 3 4 0.00106824759
2 3 5 0.000759425484
2 3 6 0.000662036465
2 3 7 0.000464645543
2 3 8 0.000431657301
2 3 9 0.000431607508
2 3 10 0.000286075106
2 3 11 0.000251038718
2 3 12 0.000185014608
2 3 13 9.73255503654e-05
2 3 14 7.56641689621e-05
2 3 15 9.05030012055e-05
2 3 16 6.64257187341e-05
2 3 17 6.06577926051e-05
2 3 18 4.56908419209e-05
2 3 19 3.75539482069e-05
2 3 20 3.86007130964e-05
2 4 1 0.00242412066
2 4 2 0.00207701519
2 4 3 0.00126168861
2 4 4 0.00143642946
2 4 5 0.00111767394
2 4 6 0.000956270468
2 4 7 0.000652958284
2 4 8 0.000576826991
2 4 9 0.000376014803
2 4 10 0.000361691381
2 4 11 0.000209329771
2 4 12 0.000248033965
2 4 13 0.00013058540468
2 4 14 0.000118605576467
2 4 15 0.000128435335891
2 4 16 6.55613936779e-05
2 4 17 7.65020922486e-05
2 4 18 4.32158643758e-05
2 4 19 4.35176361816e-05
2 4 20 3.4922312332e-05
3 1 1 0.000161968868
3 1 2 0.000210223091
3 1 3 0.000167948362
3 1 4 -5.87684343e-05
3 1 5 -9.5398064e-06
3 1 6 1.24600881e-05
3 1 7 7.3804725e-05
3 1 8 3.10809612e-05
3 1 9 5.6160557e-05
3 1 10 5.01976499e-05
3 1 11 2.91002626e-05
3 1 12 1.10321365578e-05
3 1 13 1.01755566154e-05
3 1 14 1.26004169072e-05
3 1 15 -1.55700386144e-05
3 1 16 -1.86638344552e-07
3 1 17 -1.85894403495e-06
3 1 18 -5.37156678884e-07
3 1 19 -3.21457806623e-07
3 1 20 6.42633625428e-07
3 2 1 0.000276672389
3 2 2 0.000344625417
3 2 3 0.000131980061
3 2 4 0.000170087266
3 2 5 3.06555101e-05
3 2 6 8.1469559e-05
3 2 7 3.79978391e-05
3 2 8 7.57862835e-05
3 2 9 4.37689691e-05
3 2 10 1.69421359e-05
3 2 11 -3.0500995e-05
3 2 12 -9.92001638349e-06
3 2 13 -2.07269886694e-07
3 2 14 2.19989280833e-06
3 2 15 5.96456645998e-06
3 2 16 -8.45817506246e-07
3 2 17 3.7381168178e-06
3 2 18 5.17923993198e-06
3 2 19 5.94397997236e-06
3 2 20 5.5182268344e-06
3 3 1 0.00113079344
3 3 2 0.00115441891
3 3 3 0.000765303671
3 3 4 0.000496498595
3 3 5 0.000405968369
3 3 6 0.0001834687
3 3 7 0.000198495539
3 3 8 0.000230748781
3 3 9 0.000170715918
3 3 10 0.000136785137
3 3 11 0.000128949411
3 3 12 3.08184089117e-05
3 3 13 5.30486301976e-05
3 3 14 5.95068836014e-05
3 3 15 2.57052870068e-05
3 3 16 2.83128642245e-05
3 3 17 1.58856257279e-05
3 3 18 1.94556566506e-05
3 3 19 1.9276928741e-05
3 3 20 1.70958738394e-05
3 4 1 0.00192393171
3 4 2 0.00128204786
3 4 3 0.00148468949
3 4 4 0.000948278895
3 4 5 0.000602429972
3 4 6 0.000455130485
3 4 7 0.000593645466
3 4 8 0.000393266048
3 4 9 0.000291132918
3 4 10 0.000217498275
3 4 11 0.000225757904
3 4 12 9.54101910378e-05
3 4 13 0.000144836760957
3 4 14 7.93251105599e-05
3 4 15 7.31733429959e-05
3 4 16 3.66471088294e-05
3 4 17 4.65210001092e-05
3 4 18 3.69413200573e-05
3 4 19 3.55844513652e-05
3 4 20 2.39099881365e-05
4 1 1 -0.000250511089
4 1 2 2.94159809e-05
4 1 3 8.91760024e-05
4 1 4 -8.49166656e-05
4 1 5 6.36858211e-05
4 1 6 0.000105943963
4 1 7 1.49791374e-05
4 1 8 6.17881954e-05
4 1 9 1.00476179e-05
4 1 10 7.30405983e-06
4 1 11 -1.92061529132e-05
4 1 12 -2.75310527458e-06
4 1 13 -1.37085745309e-06
4 1 14 -6.83062875359e-06
4 1 15 2.20667755635e-06
4 1 16 4.75537548926e-07
4 1 17 -1.2618238777e-05
4 1 18 5.0322613063e-06
4 1 19 -4.06320045569e-06
4 1 20 6.00334618721e-06
4 2 1 0.000279146988
4 2 2 0.000145576111
4 2 3 -0.000235406774
4 2 4 2.22419228e-05
4 2 5 7.86544329e-05
4 2 6 3.78877684e-05
4 2 7 2.66780862e-05
4 2 8 6.38446701e-05
4 2 9 4.09048643e-06
4 2 10 -5.65200985e-06
4 2 11 -4.65567056824e-05
4 2 12 5.01661188299e-06
4 2 13 -1.55711333688e-06
4 2 14 2.92562567641e-06
4 2 15 4.32624531029e-06
4 2 16 4.77291250885e-07
4 2 17 7.02940490912e-06
4 2 18 2.97937036904e-05
4 2 19 1.40223571723e-05
4 2 20 1.77007653759e-06
4 3 1 0.000363025723
4 3 2 0.000500645971
4 3 3 0.000242457723
4 3 4 0.000165053588
4 3 5 7.94147025e-05
4 3 6 8.06181359e-05
4 3 7 6.54883196e-05
4 3 8 0.00012132722
4 3 9 0.000106232712
4 3 10 8.16947536e-05
4 3 11 4.32598382913e-05
4 3 12 4.52258852081e-05
4 3 13 4.00314224591e-05
4 3 14 1.96222361074e-05
4 3 15 3.47012284341e-05
4 3 16 2.85349390115e-05
4 3 17 1.25724212383e-05
4 3 18 7.05204052865e-06
4 3 19 7.73329305384e-06
4 3 20 5.71678159881e-06
4 4 1 0.00136266254
4 4 2 0.00127987542
4 4 3 0.000805359961
4 4 4 0.000586242234
4 4 5 0.000241062416
4 4 6 0.000291697225
4 4 7 0.000252315877
4 4 8 0.000335604011
4 4 9 0.00025238102
4 4 10 0.000238482927
4 4 11 0.000103472628231
4 4 12 8.98994179825e-05
4 4 13 0.000107919796936
4 4 14 5.80795311976e-05
4 4 15 8.66476485914e-05
4 4 16 6.62176726339e-05
4 4 17 5.76823845438e-05
4 4 18 2.67806019812e-05
4 4 19 1.7356952572e-05
4 4 20 2.25350266582e-05
5 1 1 0.00021281966
5 1 2 -0.000442652145
5 1 3 -0.000167651315
5 1 4 -0.000110535435
5 1 5 -2.60034083e-05
5 1 6 -9.25566005e-06
5 1 7 -0.000165441609
5 1 8 -3.30032249e-05
5 1 9 -1.57703515e-05
5 1 10 -6.73062039018e-05
5 1 11 5.68214006253e-05
5 1 12 3.89431504845e-05
5 1 13 6.98718727535e-05
5 1 14 1.17054110326e-06
5 1 15 2.83193023656e-05
5 1 16 -1.48757923965e-05
