# BIN1 BIN2 ANGBIN VALUE 
1 1 1 0.00111701555
1 1 2 0.00119740119
1 1 3 0.000763949115
1 1 4 0.000570410769
1 1 5 0.000529940066
1 1 6 0.000520817337
1 1 7 0.000417076797
1 1 8 0.000237488922
1 1 9 0.000193331932
1 1 10 0.000169881797
1 1 11 0.000165491034
1 1 12 0.000111987437
1 1 13 6.32646299e-05
1 1 14 5.99532681e-05
1 1 15 1.24823450685e-06
1 1 16 2.69908985022e-05
1 1 17 3.43902834598e-05
1 1 18 2.29594891253e-05
1 1 19 3.01885252151e-05
1 1 20 -8.32741408001e-07
1 2 1 0.0020610304
1 2 2 0.00106990583
1 2 3 0.00141653814
1 2 4 0.00119409878
1 2 5 0.00088191015
1 2 6 0.000742747199
1 2 7 0.00041809929
1 2 8 0.000346907992
1 2 9 0.000359107446
1 2 10 0.000275691542
1 2 11 0.000135393222
1 2 12 0.000204954839
1 2 13 0.000153510547
1 2 14 0.000100016378
1 2 15 9.15600299132e-05
1 2 16 6.51592689774e-05
1 2 17 5.22683384513e-05
1 2 18 5.01388277807e-05
1 2 19 4.86673242017e-05
1 2 20 2.61866201546e-05
1 3 1 0.00278938019
1 3 2 0.00202498049
1 3 3 0.00189977545
1 3 4 0.00168758462
1 3 5 0.00132825349
1 3 6 0.000952150471
1 3 7 0.000671344337
1 3 8 0.000561232268
1 3 9 0.000495735818
1 3 10 0.00037921445
1 3 11 0.000333447074
1 3 12 0.000261821692
1 3 13 0.000184777903
1 3 14 0.000175856339
1 3 15 0.00010788534114
1 3 16 8.7240509958e-05
1 3 17 0.00010378910389
1 3 18 6.88677425208e-05
1 3 19 5.54491059928e-05
1 3 20 4.47993489863e-05
1 4 1 0.00211710501
1 4 2 0.00267493612
1 4 3 0.00205339811
1 4 4 0.00170091504
1 4 5 0.00148320085
1 4 6 0.00112394518
1 4 7 0.000790951693
1 4 8 0.000754920664
1 4 9 0.000554916361
1 4 10 0.000279665132
1 4 11 0.00031390494
1 4 12 0.000324585218
1 4 13 0.000275460045
1 4 14 0.00016775334
1 4 15 7.64125260694e-05
1 4 16 3.55659865468e-05
1 4 17 6.39257979673e-05
1 4 18 3.52239852785e-05
1 4 19 2.995649735e-05
1 4 20 4.21828725071e-05
2 1 1 0.000542396745
2 1 2 0.000509315531
2 1 3 0.000530036005
2 1 4 0.000278483705
2 1 5 0.000266320163
2 1 6 0.000152886444
2 1 7 0.000113846771
2 1 8 6.90702776e-05
2 1 9 8.52311231e-05
2 1 10 9.86848558e-05
2 1 11 5.22398748e-05
2 1 12 6.17484425e-05
2 1 13 4.81489995551e-06
2 1 14 1.68234557607e-05
2 1 15 2.67826270273e-05
2 1 16 1.35769995637e-05
2 1 17 2.74844522111e-05
2 1 18 -2.18522803765e-06
2 1 19 5.33712328142e-06
2 1 20 -7.93180194235e-06
2 2 1 0.00104585108
2 2 2 0.000890033814
2 2 3 0.000464186783
2 2 4 0.000612956902
2 2 5 0.000422818225
2 2 6 0.000441675107
2 2 7 0.000302961859
2 2 8 0.000178594121
2 2 9 0.000186959159
2 2 10 0.000152303783
2 2 11 0.000138107551
2 2 12 5.12370839e-05
2 2 13 4.3128398957e-05
2 2 14 3.98242417804e-05
2 2 15 2.75689656086e-05
2 2 16 3.18039401686e-05
2 2 17 4.44094700788e-05
2 2 18 7.2394745241e-06
2 2 19 1.18151893075e-05
2 2 20 5.91237286426e-06
2 3 1 0.00200430706
2 3 2 0.00166002511
2 3 3 0.00147990767
2 3 4 0.00106824759
2 3 5 0.000759425484
2 3 6 0.000662036465
2 3 7 0.000464645543
2 3 8 0.000431657301
2 3 9 0.000431607508
2 3 10 0.000286075106
2 3 11 0.000251038718
2 3 12 0.000185014608
2 3 13 9.77990747713e-05
2 3 14 9.15914285718e-05
2 3 15 8.59182748995e-05
2 3 16 7.42748530924e-05
2 3 17 5.89418439912e-05
2 3 18 6.03972749597e-05
2 3 19 4.99157667449e-05
2 3 20 3.52256957715e-05
2 4 1 0.00242412066
2 4 2 0.00207701519
2 4 3 0.00126168861
2 4 4 0.00143642946
2 4 5 0.00111767394
2 4 6 0.000956270468
2 4 7 0.000652958284
2 4 8 0.000576826991
2 4 9 0.000376014803
2 4 10 0.000361691381
2 4 11 0.000209329771
2 4 12 0.000248033965
2 4 13 0.000193997297526
2 4 14 0.000141362025232
2 4 15 0.000128016075994
2 4 16 9.02937747759e-05
2 4 17 8.4404137286e-05
2 4 18 6.18753697669e-05
2 4 19 4.59797605904e-05
2 4 20 3.00659329972e-05
3 1 1 0.000161968868
3 1 2 0.000210223091
3 1 3 0.000167948362
3 1 4 -5.87684343e-05
3 1 5 -9.5398064e-06
3 1 6 1.24600881e-05
3 1 7 7.3804725e-05
3 1 8 3.10809612e-05
3 1 9 5.6160557e-05
3 1 10 5.01976499e-05
3 1 11 2.91002626e-05
3 1 12 2.81327210277e-06
3 1 13 1.54694655269e-05
3 1 14 1.22572908268e-05
3 1 15 6.96274095724e-06
3 1 16 -6.95366312948e-06
3 1 17 -1.91873054543e-06
3 1 18 -1.85148495823e-06
3 1 19 -6.57308647454e-06
3 1 20 1.29173797812e-06
3 2 1 0.000276672389
3 2 2 0.000344625417
3 2 3 0.000131980061
3 2 4 0.000170087266
3 2 5 3.06555101e-05
3 2 6 8.1469559e-05
3 2 7 3.79978391e-05
3 2 8 7.57862835e-05
3 2 9 4.37689691e-05
3 2 10 1.69421359e-05
3 2 11 -3.0500995e-05
3 2 12 2.24071667155e-05
3 2 13 8.88509968671e-07
3 2 14 -1.13705353019e-05
3 2 15 -1.5701602283e-06
3 2 16 -1.38018017083e-05
3 2 17 -7.1466844917e-06
3 2 18 -5.1566213672e-06
3 2 19 -7.19376313917e-06
3 2 20 -7.21099133872e-06
3 3 1 0.00113079344
3 3 2 0.00115441891
3 3 3 0.000765303671
3 3 4 0.000496498595
3 3 5 0.000405968369
3 3 6 0.0001834687
3 3 7 0.000198495539
3 3 8 0.000230748781
3 3 9 0.000170715918
3 3 10 0.000136785137
3 3 11 0.000128949411
3 3 12 0.000115613851059
3 3 13 7.86152944617e-05
3 3 14 6.72334235588e-05
3 3 15 7.5766972394e-05
3 3 16 6.63936767444e-05
3 3 17 4.17262515991e-05
3 3 18 2.99295460307e-05
3 3 19 1.76067288691e-05
3 3 20 1.31026201676e-05
3 4 1 0.00192393171
3 4 2 0.00128204786
3 4 3 0.00148468949
3 4 4 0.000948278895
3 4 5 0.000602429972
3 4 6 0.000455130485
3 4 7 0.000593645466
3 4 8 0.000393266048
3 4 9 0.000291132918
3 4 10 0.000217498275
3 4 11 0.000225757904
3 4 12 0.000167770728504
3 4 13 0.000123834313476
3 4 14 0.000127404219249
3 4 15 0.000109669951435
3 4 16 6.29927884905e-05
3 4 17 4.66349846069e-05
3 4 18 2.28848038441e-05
3 4 19 1.02701555541e-05
3 4 20 1.21912965455e-05
4 1 1 -0.000250511089
4 1 2 2.94159809e-05
4 1 3 8.91760024e-05
4 1 4 -8.49166656e-05
4 1 5 6.36858211e-05
4 1 6 0.000105943963
4 1 7 1.49791374e-05
4 1 8 6.17881954e-05
4 1 9 1.00476179e-05
4 1 10 7.30405983e-06
4 1 11 4.01500429519e-05
4 1 12 -1.88815320439e-06
4 1 13 2.29346212594e-05
4 1 14 8.83342632785e-06
4 1 15 1.1470838648e-05
4 1 16 5.46351392427e-06
4 1 17 -7.17844049618e-06
4 1 18 5.40239895759e-07
4 1 19 8.19690134844e-06
4 1 20 5.35590350155e-06
4 2 1 0.000279146988
4 2 2 0.000145576111
4 2 3 -0.000235406774
4 2 4 2.22419228e-05
4 2 5 7.86544329e-05
4 2 6 3.78877684e-05
4 2 7 2.66780862e-05
4 2 8 6.38446701e-05
4 2 9 4.09048643e-06
4 2 10 -5.65200985e-06
4 2 11 5.88254245411e-05
4 2 12 2.82645646724e-05
4 2 13 6.4514399727e-06
4 2 14 -4.89397501757e-06
4 2 15 -1.28053617803e-05
4 2 16 4.65194861908e-06
4 2 17 -1.28596628398e-05
4 2 18 -2.67968720994e-06
4 2 19 -1.05526682856e-05
4 2 20 -7.0225063867e-06
4 3 1 0.000363025723
4 3 2 0.000500645971
4 3 3 0.000242457723
4 3 4 0.000165053588
4 3 5 7.94147025e-05
4 3 6 8.06181359e-05
4 3 7 6.54883196e-05
4 3 8 0.00012132722
4 3 9 0.000106232712
4 3 10 8.16947536e-05
4 3 11 -1.22452235079e-05
4 3 12 1.51491531269e-05
4 3 13 1.97405567396e-05
4 3 14 7.66506156593e-06
4 3 15 2.51776975434e-05
4 3 16 3.37249140864e-05
4 3 17 1.55615562868e-06
4 3 18 -9.63780914443e-07
4 3 19 -4.85969399354e-06
4 3 20 -1.9199974436e-05
4 4 1 0.00136266254
4 4 2 0.00127987542
4 4 3 0.000805359961
4 4 4 0.000586242234
4 4 5 0.000241062416
4 4 6 0.000291697225
4 4 7 0.000252315877
4 4 8 0.000335604011
4 4 9 0.00025238102
4 4 10 0.000238482927
4 4 11 0.00011475588947
4 4 12 7.85555872777e-05
4 4 13 9.23430526464e-05
4 4 14 6.94938507556e-05
4 4 15 7.38291118693e-05
4 4 16 6.12877752647e-05
4 4 17 4.42814214327e-05
4 4 18 4.68634130698e-05
4 4 19 2.40531169418e-05
4 4 20 -3.16133739165e-06
5 1 1 0.00021281966
5 1 2 -0.000442652145
5 1 3 -0.000167651315
5 1 4 -0.000110535435
5 1 5 -2.60034083e-05
5 1 6 -9.25566005e-06
5 1 7 -0.000165441609
5 1 8 -3.30032249e-05
5 1 9 -1.57703515e-05
5 1 10 3.70487449236e-05
5 1 11 -6.06768321366e-05
5 1 12 -1.00523147722e-05
5 1 13 -1.48948881387e-05
5 1 14 2.19451097294e-05
5 1 15 3.34890061305e-07
5 1 16 -1.52134175446e-05
