# BIN1 BIN2 ANGBIN VALUE 
1 1 1 1.06885244e-05
1 1 2 1.66583295e-05
1 1 3 7.22627063e-06
1 1 4 5.55877792e-06
1 1 5 -1.14075405e-06
1 1 6 1.9460395801e-06
1 1 7 6.44512656675e-06
1 1 8 3.69716321742e-07
1 1 9 3.07187385384e-06
1 1 10 1.35909691218e-06
1 1 11 1.68477588422e-06
1 1 12 2.23025081507e-06
1 1 13 8.3182886286e-08
1 1 14 1.87530018995e-07
1 1 15 1.50575140597e-06
1 1 16 -2.56031325795e-08
1 1 17 1.10412425178e-07
1 1 18 -1.5426923636e-07
1 1 19 3.73209592029e-07
1 1 20 -1.50298274352e-07
1 2 1 1.43861452e-05
1 2 2 1.06118757e-05
1 2 3 1.62717054e-05
1 2 4 7.30066618e-06
1 2 5 1.06343481e-05
1 2 6 -2.97224563314e-07
1 2 7 1.49635963815e-06
1 2 8 8.4406428463e-07
1 2 9 4.22194213914e-07
1 2 10 5.39692547839e-07
1 2 11 2.85986955608e-06
1 2 12 6.43799110827e-07
1 2 13 6.94254281835e-07
1 2 14 4.36563015111e-07
1 2 15 3.28899336811e-07
1 2 16 1.53954143414e-07
1 2 17 1.85386808071e-07
1 2 18 5.70846951016e-07
1 2 19 -1.59103958624e-07
1 2 20 6.80190831848e-08
1 3 1 2.76824063e-05
1 3 2 2.17849172e-05
1 3 3 1.69978139e-05
1 3 4 1.23737661e-05
1 3 5 1.00544802796e-05
1 3 6 1.29667680213e-06
1 3 7 3.97529718642e-06
1 3 8 1.54431059678e-06
1 3 9 -1.26467558912e-07
1 3 10 2.30770577487e-06
1 3 11 8.73716812355e-07
1 3 12 3.26040894595e-07
1 3 13 -6.22670484109e-08
1 3 14 8.96492213602e-07
1 3 15 7.70268218214e-07
1 3 16 1.48142295391e-07
1 3 17 5.57236631154e-07
1 3 18 -1.3957307348e-07
1 3 19 -1.63011233901e-07
1 3 20 1.91839933198e-08
1 4 1 2.09936011e-05
1 4 2 2.60778478e-05
1 4 3 1.01903773e-05
1 4 4 1.70536808e-05
1 4 5 2.10418104046e-06
1 4 6 4.79365499762e-06
1 4 7 8.13259250014e-06
1 4 8 9.59389012372e-08
1 4 9 5.3191815181e-06
1 4 10 1.40436054676e-06
1 4 11 -9.75746740433e-07
1 4 12 8.61428028775e-07
1 4 13 -6.59707869254e-07
1 4 14 1.08635113455e-06
1 4 15 1.0653327356e-06
1 4 16 1.03147521887e-06
