# BIN1 BIN2 ANGBIN VALUE 
1 1 1 0.575183524
1 1 2 0.421863522
1 1 3 0.324344017
1 1 4 0.252745588
1 1 5 0.198435753
1 1 6 0.169554559
1 1 7 0.135211807
1 1 8 0.108796387
1 1 9 0.0897136927
1 1 10 0.0717938882
1 1 11 0.0558050577
1 1 12 0.045232845
1 1 13 0.0274331705367
1 1 14 0.0222724644328
1 1 15 0.0168723774995
1 1 16 0.0111100245924
1 1 17 0.0085781699725
1 1 18 0.00643525035994
1 1 19 0.00343098467849
1 1 20 0.000791082036273
2 2 1 0.356986489
2 2 2 0.288611382
2 2 3 0.226981262
2 2 4 0.17651083
2 2 5 0.149427875
2 2 6 0.124320525
2 2 7 0.103413224
2 2 8 0.0869506787
2 2 9 0.0721714961
2 2 10 0.0606199068
2 2 11 0.0315637381282
2 2 12 0.0252559835893
2 2 13 0.0173333286955
2 2 14 0.0113880806502
2 2 15 0.00759898319451
2 2 16 0.00483282198869
2 2 17 0.00233195308934
2 2 18 -0.000447273735257
2 2 19 -0.000699836646579
2 2 20 -0.000603782710565
3 3 1 0.22142106
3 3 2 0.189751598
3 3 3 0.161947637
3 3 4 0.131116143
3 3 5 0.108066388
3 3 6 0.0899261873
3 3 7 0.0775498125
3 3 8 0.0640440984
3 3 9 0.0536839784
3 3 10 0.0258683312269
3 3 11 0.0198606047781
3 3 12 0.0158286385812
3 3 13 0.0115861304341
3 3 14 0.00806130392196
3 3 15 0.00464109344308
3 3 16 0.00261567926522
3 3 17 0.000779337848381
3 3 18 -0.000335745603978
3 3 19 0.00034360436167
3 3 20 0.000464995145226
4 4 1 0.262639842
4 4 2 0.205844382
4 4 3 0.175655668
4 4 4 0.154540153
4 4 5 0.121318904
4 4 6 0.105576676
4 4 7 0.0828232466
4 4 8 0.0683450908
4 4 9 0.0323857135011
4 4 10 0.0242022362443
4 4 11 0.0199906999127
4 4 12 0.013278607082
4 4 13 0.00962244672486
4 4 14 0.00596250825532
4 4 15 0.00506013081194
4 4 16 0.00336769722967
4 4 17 0.00198834062865
4 4 18 0.00186544704878
4 4 19 6.54483572721e-05
4 4 20 -0.000228474449648
5 5 1 0.198142352
5 5 2 0.209486285
5 5 3 0.181926482
5 5 4 0.140489519
5 5 5 0.0995756365
5 5 6 0.102915685
5 5 7 0.0795388441
5 5 8 0.0294279827309
5 5 9 0.0278692004372
5 5 10 0.0238424767863
5 5 11 0.0144652458698
5 5 12 0.0100150666663
5 5 13 0.00578241316107
5 5 14 0.00387919822736
5 5 15 0.00124442740454
5 5 16 0.000178277062263
5 5 17 0.000787726997973
5 5 18 -0.000689770452116
5 5 19 -0.000132815688834
5 5 20 -0.000403646227193
