# BIN1 BIN2 ANGBIN VALUE 
1 1 1 1.54569882e-05
1 1 2 6.90308053e-06
1 1 3 -4.36517173e-06
1 1 4 -1.87648157e-06
1 1 5 -3.3943387e-06
1 1 6 3.66791807e-06
1 1 7 7.46687004e-06
1 1 8 7.59440545e-06
1 1 9 1.04934861e-07
1 1 10 8.49573907e-07
1 1 11 2.50667792e-06
1 1 12 8.76265237e-08
1 1 13 2.15283747e-06
1 1 14 6.8086186e-07
1 1 15 3.03815524e-07
1 1 16 1.1276832e-07
1 1 17 5.12372239276e-07
1 1 18 2.0086536891e-07
1 1 19 4.8138212671e-07
1 1 20 -3.96620236401e-08
1 2 1 9.19228963e-06
1 2 2 -4.76536463e-07
1 2 3 1.2527756e-06
1 2 4 2.73784116e-06
1 2 5 -1.96429122e-06
1 2 6 2.72707869e-06
1 2 7 2.01197551e-06
1 2 8 2.55280682e-06
1 2 9 4.83503149e-06
1 2 10 2.36939273e-06
1 2 11 5.77248203e-07
1 2 12 1.48494343e-06
1 2 13 1.41401937e-06
1 2 14 8.94629915e-07
1 2 15 5.19234325e-07
1 2 16 -7.50098874997e-08
1 2 17 1.45822658123e-07
1 2 18 1.2529655097e-07
1 2 19 -8.14813666478e-08
1 2 20 2.1253707403e-07
1 3 1 -1.37754711e-05
1 3 2 5.14933383e-06
1 3 3 1.83763821e-05
1 3 4 1.14573879e-05
1 3 5 -3.89040108e-06
1 3 6 3.31719448e-06
1 3 7 4.36291782e-06
1 3 8 4.56182662e-07
1 3 9 6.41274544e-06
1 3 10 1.37642074e-06
1 3 11 1.49384378e-06
1 3 12 1.98355787e-06
1 3 13 1.57438931e-06
1 3 14 1.5113204e-06
1 3 15 7.1153558e-07
1 3 16 -2.18671524546e-07
1 3 17 1.74895322901e-07
1 3 18 2.72747048069e-07
1 3 19 2.56229603217e-07
1 3 20 1.63064704864e-07
1 4 1 2.03407853e-05
1 4 2 4.5169015e-07
1 4 3 2.44988508e-05
1 4 4 -6.01498054e-06
1 4 5 4.9797142e-06
1 4 6 -4.12500578e-06
1 4 7 5.39616324e-07
1 4 8 6.41976566e-06
1 4 9 3.04060839e-06
1 4 10 2.91584867e-06
1 4 11 2.33761274e-06
1 4 12 2.47494439e-06
1 4 13 2.34616772e-06
1 4 14 1.75283144e-06
1 4 15 9.1176996e-07
1 4 16 7.60186555366e-08
1 4 17 6.77466243386e-07
1 4 18 3.71018949281e-07
1 4 19 4.84977934674e-07
1 4 20 3.89398058954e-07
2 2 1 2.2673095e-05
2 2 2 2.165165e-05
2 2 3 7.37973133e-06
2 2 4 -6.45737608e-06
2 2 5 1.48785401e-06
2 2 6 -2.55395464e-06
2 2 7 2.01208015e-06
2 2 8 1.48434832e-06
2 2 9 2.12791803e-06
2 2 10 4.41967445e-06
2 2 11 6.68007982e-06
2 2 12 5.28915919e-08
2 2 13 -1.48820359e-07
2 2 14 1.08636249e-06
2 2 15 2.26227235684e-07
2 2 16 6.20084450815e-07
2 2 17 -8.13561821422e-07
2 2 18 7.69838754467e-07
2 2 19 -2.55737768576e-07
2 2 20 -6.72141670953e-08
2 3 1 6.85193872e-06
2 3 2 4.82185015e-06
2 3 3 1.36426895e-05
2 3 4 1.68891997e-06
2 3 5 8.59070807e-06
2 3 6 1.0265752e-05
2 3 7 3.94611671e-06
2 3 8 8.17275903e-06
2 3 9 4.88617642e-06
2 3 10 3.95831153e-06
2 3 11 7.81252187e-07
2 3 12 1.47604438e-06
2 3 13 1.69617323e-06
2 3 14 1.83814631e-06
2 3 15 5.15076076133e-07
2 3 16 6.17700806634e-07
2 3 17 2.5970609332e-07
2 3 18 4.49604192692e-07
2 3 19 2.97634621289e-07
2 3 20 3.93549475664e-07
2 4 1 1.27444441e-05
2 4 2 5.22765594e-06
2 4 3 3.95169322e-06
2 4 4 1.24091882e-05
2 4 5 -1.57374523e-06
2 4 6 -2.90727909e-06
2 4 7 1.63040182e-06
2 4 8 1.40014456e-06
2 4 9 6.84547419e-06
2 4 10 3.09799905e-06
2 4 11 5.20334745e-06
2 4 12 2.02426451e-06
2 4 13 7.77027356e-07
2 4 14 -9.79686667373e-07
2 4 15 2.00740934992e-07
2 4 16 5.11368646679e-07
2 4 17 5.55971771382e-07
2 4 18 4.86000130327e-07
2 4 19 -3.30759623969e-08
2 4 20 4.66970795883e-07
3 3 1 -1.2772557e-05
3 3 2 4.86956937e-06
3 3 3 2.17083461e-05
3 3 4 3.94080706e-06
3 3 5 1.25780982e-05
3 3 6 1.05668012e-05
3 3 7 6.15870276e-06
3 3 8 7.91272056e-06
3 3 9 5.20817663e-06
3 3 10 5.72742533e-06
3 3 11 4.80683334e-06
3 3 12 3.71902833e-06
3 3 13 2.09752863e-06
3 3 14 6.91931832292e-07
3 3 15 1.00478627974e-06
3 3 16 4.69051346301e-07
3 3 17 8.87140788539e-07
3 3 18 7.22944290737e-07
3 3 19 1.13197331082e-06
3 3 20 5.22353578679e-07
3 4 1 1.06238917e-05
3 4 2 1.52170013e-05
3 4 3 2.24289203e-05
3 4 4 1.15681455e-05
3 4 5 1.29697504e-05
3 4 6 1.16100188e-05
3 4 7 6.44688755e-06
3 4 8 7.52288416e-06
3 4 9 4.62224739e-06
3 4 10 5.34985233e-06
3 4 11 5.03839665e-06
3 4 12 1.77167811e-06
3 4 13 3.76941612e-06
3 4 14 5.02954629084e-07
3 4 15 1.90329501421e-06
3 4 16 6.63728102866e-07
3 4 17 5.75864440898e-07
3 4 18 1.09536549187e-06
3 4 19 9.07450586168e-07
3 4 20 9.13013656358e-07
4 4 1 2.70617292e-05
4 4 2 5.88089609e-05
4 4 3 1.90306414e-05
4 4 4 6.83476732e-06
4 4 5 1.12409326e-05
4 4 6 1.66450108e-05
4 4 7 2.13764947e-05
4 4 8 1.43160387e-05
4 4 9 1.04616185e-05
4 4 10 4.06834095e-06
4 4 11 8.51995564e-06
4 4 12 4.09424984e-07
4 4 13 4.17433459293e-06
4 4 14 1.13203679448e-06
4 4 15 3.10669617513e-06
4 4 16 2.01557182422e-06
4 4 17 2.51288244229e-06
4 4 18 8.30939237549e-07
4 4 19 1.19222713516e-06
4 4 20 2.02172987625e-06
