# BIN1 BIN2 ANGBIN VALUE 
1 1 1 0.575183524
1 1 2 0.421863522
1 1 3 0.324344017
1 1 4 0.252745588
1 1 5 0.198435753
1 1 6 0.169554559
1 1 7 0.135211807
1 1 8 0.108796387
1 1 9 0.0897136927
1 1 10 0.0717938882
1 1 11 0.0558050577
1 1 12 0.045232845
1 1 13 0.0287223823661
1 1 14 0.0214508665476
1 1 15 0.0156978786664
1 1 16 0.0114755107941
1 1 17 0.00824852805699
1 1 18 0.00363406658719
1 1 19 0.000149282453512
1 1 20 -0.000815550204124
2 2 1 0.356986489
2 2 2 0.288611382
2 2 3 0.226981262
2 2 4 0.17651083
2 2 5 0.149427875
2 2 6 0.124320525
2 2 7 0.103413224
2 2 8 0.0869506787
2 2 9 0.0721714961
2 2 10 0.0606199068
2 2 11 0.0261626713569
2 2 12 0.0213963258655
2 2 13 0.0167824289682
2 2 14 0.0112843376675
2 2 15 0.00804213891203
2 2 16 0.00551770003951
2 2 17 0.00229588410834
2 2 18 0.00208191584237
2 2 19 0.000383017163299
2 2 20 0.000216832551517
3 3 1 0.22142106
3 3 2 0.189751598
3 3 3 0.161947637
3 3 4 0.131116143
3 3 5 0.108066388
3 3 6 0.0899261873
3 3 7 0.0775498125
3 3 8 0.0640440984
3 3 9 0.0536839784
3 3 10 0.0208377923134
3 3 11 0.0175219231007
3 3 12 0.0139383568774
3 3 13 0.00911859752885
3 3 14 0.0072356023857
3 3 15 0.00496803289342
3 3 16 0.0036684395992
3 3 17 0.00252988271975
3 3 18 0.00147590389749
3 3 19 0.000407410309162
3 3 20 0.000444228344955
4 4 1 0.262639842
4 4 2 0.205844382
4 4 3 0.175655668
4 4 4 0.154540153
4 4 5 0.121318904
4 4 6 0.105576676
4 4 7 0.0828232466
4 4 8 0.0683450908
4 4 9 0.0358024929511
4 4 10 0.0291054106626
4 4 11 0.0216815327452
4 4 12 0.0164195983734
4 4 13 0.0121076931661
4 4 14 0.00687262377753
4 4 15 0.00507125661634
4 4 16 0.0028081039616
4 4 17 0.000363999418948
4 4 18 0.000143471974332
4 4 19 0.000443509302166
4 4 20 -0.0010375400252
5 5 1 0.198142352
5 5 2 0.209486285
5 5 3 0.181926482
5 5 4 0.140489519
5 5 5 0.0995756365
5 5 6 0.102915685
5 5 7 0.0795388441
5 5 8 0.0402174440776
5 5 9 0.0273009364517
5 5 10 0.0173431539862
5 5 11 0.0107034176241
5 5 12 0.00769441729172
5 5 13 0.00444762690934
5 5 14 0.00454811893345
5 5 15 0.00249523613515
5 5 16 0.00184485424728
5 5 17 0.000503760903454
5 5 18 -0.000947921372994
5 5 19 -9.13951594305e-05
5 5 20 0.000568466047034
