# BIN1 BIN2 ANGBIN VALUE 
1 1 1 1.06885244e-05
1 1 2 1.66583295e-05
1 1 3 7.22627063e-06
1 1 4 5.55877792e-06
1 1 5 -1.14075405e-06
1 1 6 3.33541650448e-06
1 1 7 4.72188373157e-06
1 1 8 -3.28016263142e-06
1 1 9 -1.72706315095e-07
1 1 10 -4.97904838085e-07
1 1 11 1.23942977582e-06
1 1 12 2.22490800373e-06
1 1 13 1.58131053826e-06
1 1 14 2.33173050375e-07
1 1 15 7.35242715843e-07
1 1 16 -4.89211222296e-07
1 1 17 -3.62761279996e-08
1 1 18 1.20220712533e-07
1 1 19 2.91737191478e-07
1 1 20 -1.47733638845e-07
1 2 1 1.43861452e-05
1 2 2 1.06118757e-05
1 2 3 1.62717054e-05
1 2 4 7.30066618e-06
1 2 5 1.06343481e-05
1 2 6 -2.91801578964e-06
1 2 7 -1.49272434845e-06
1 2 8 -1.0449565949e-06
1 2 9 -2.46553802204e-07
1 2 10 2.17284088084e-06
1 2 11 2.12140766011e-06
1 2 12 1.31409014291e-06
1 2 13 -3.78975397468e-08
1 2 14 5.66692725631e-07
1 2 15 -9.9377445023e-09
1 2 16 -3.85437150803e-07
1 2 17 -8.24940143671e-08
1 2 18 1.1225640766e-08
1 2 19 -5.65271466711e-08
1 2 20 -1.53691919261e-07
1 3 1 2.76824063e-05
1 3 2 2.17849172e-05
1 3 3 1.69978139e-05
1 3 4 1.23737661e-05
1 3 5 6.58622698779e-06
1 3 6 3.9060791179e-08
1 3 7 4.39959388186e-06
1 3 8 3.34051295543e-06
1 3 9 1.0125603611e-06
1 3 10 4.16715489015e-06
1 3 11 6.70586696664e-07
1 3 12 2.22381153306e-06
1 3 13 1.93274533403e-06
1 3 14 7.62924492138e-07
1 3 15 3.26648503429e-07
1 3 16 -3.0332875837e-07
1 3 17 1.05069491694e-07
1 3 18 1.3085161658e-07
1 3 19 -2.12721735683e-08
1 3 20 -1.20349002818e-07
1 4 1 2.09936011e-05
1 4 2 2.60778478e-05
1 4 3 1.01903773e-05
1 4 4 1.70536808e-05
1 4 5 -3.1207350636e-06
1 4 6 1.51027637959e-06
1 4 7 1.11383902792e-05
1 4 8 2.37963042944e-06
1 4 9 -8.24722252608e-07
1 4 10 6.1103668496e-06
1 4 11 3.0830314517e-06
1 4 12 2.8876143262e-06
1 4 13 1.42310982372e-06
1 4 14 -2.32900811522e-07
1 4 15 -4.22803641839e-07
1 4 16 5.46428161927e-07
